GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
scratch-game,com.klinux.scratch.factory,MatrixGeneratorServiceFactory,0,8,0,0,0,2,0,2,0,2
scratch-game,com.klinux.scratch.factory,GameServiceFactory,0,8,0,0,0,2,0,2,0,2
scratch-game,com.klinux.scratch.model,BonusEffect,0,27,0,0,0,10,0,5,0,5
scratch-game,com.klinux.scratch.model,Symbol,0,59,0,0,0,23,0,9,0,9
scratch-game,com.klinux.scratch.model,BonusImpact,4,38,0,0,1,3,1,2,1,2
scratch-game,com.klinux.scratch.model,GameConfiguration,0,38,0,0,0,16,0,11,0,11
scratch-game,com.klinux.scratch.model,CellProbability,0,24,0,0,0,10,0,7,0,7
scratch-game,com.klinux.scratch.model,ProbabilityConfig,7,17,0,0,3,7,2,5,2,5
scratch-game,com.klinux.scratch.model,Result,137,136,16,14,23,23,9,7,0,1
scratch-game,com.klinux.scratch.model,BonusSymbolProbability,0,10,0,0,0,4,0,3,0,3
scratch-game,com.klinux.scratch.model,SymbolType,4,28,0,0,1,3,1,2,1,2
scratch-game,com.klinux.scratch.model,WinCombination,0,65,0,0,0,23,0,12,0,12
scratch-game,com.klinux.scratch.model,WinCombinationOptionalResult,0,15,0,0,0,6,0,3,0,3
scratch-game,com.klinux.scratch,ScratchGameApp,15,119,0,2,5,37,0,4,0,3
scratch-game,com.klinux.scratch.service,MatrixGeneratorService,10,193,4,22,1,41,4,15,0,6
scratch-game,com.klinux.scratch.service,WinCheckerService,8,363,6,36,3,68,6,21,0,6
scratch-game,com.klinux.scratch.service,GameService,0,175,1,17,0,37,1,12,0,4
scratch-game,com.klinux.scratch.util,GameConfigLoader,0,37,0,2,0,8,0,3,0,2
